taxon_name,genus,num_unburnt_pixels,num_pixels,taxon_rank,mean_fires_per_century,resprouting,post_fire_seeding,data_on_both,woody_or_herb,resprouting_binomial,seeding_binomial
Cryptandra amara,Cryptandra,1641,2270,species,1.7595529059854131,sometimes resprouts,robust post-fire seeding,TRUE,woody,TRUE,TRUE
Cryptandra arbutiflora,Cryptandra,37,45,species,0.536976179736667,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra armata,Cryptandra,42,59,species,2.369976223786916,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra campanulata,Cryptandra,114,123,species,0.40338698380217897,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra ericoides,Cryptandra,100,255,species,3.483796678291546,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra gemmata,Cryptandra,2,22,species,17.632345101898554,mostly resprouts,NA,FALSE,woody,TRUE,NA
Cryptandra hispidula,Cryptandra,95,142,species,2.414123895379494,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra lanosiflora,Cryptandra,32,83,species,3.8584649830716633,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra leucopogon,Cryptandra,69,75,species,0.36084799278304003,mostly resprouts,no post-fire seeding,TRUE,woody,TRUE,FALSE
Cryptandra longistaminea,Cryptandra,91,140,species,2.086993988110866,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra magniflora,Cryptandra,100,106,species,0.2553169760257359,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra mutila,Cryptandra,39,65,species,1.0825439783491202,does not resprout,no post-fire seeding,TRUE,woody,FALSE,FALSE
Cryptandra myriantha,Cryptandra,192,227,species,0.894171788283965,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Cryptandra propinqua,Cryptandra,114,167,species,1.886250871365892,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra propinqua subsp. propinqua,Cryptandra,30,57,subspecies,3.4634963593015016,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra pungens,Cryptandra,179,231,species,1.212099535229375,does not resprout,no post-fire seeding,TRUE,woody,FALSE,FALSE
