taxon_name,mean_fri,mean_fires,upr_conf_int,lwr_conf_int,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,taxon_rank,resprouting,post_fire_seeding,data_on_both,resprouter_or_seeder,woodiness_detailed,woody_or_herb,resprouting_binomial,seeding_binomial,obligate_resprouting_or_seeding,resprouting_seeding_binomial,mean_fires_100
Abelmoschus ficulneus,22.22556390977444,0.9974999999999998,1.095377423341647,0.8996225766583528,4.072832457082557,2.5180519634883336e-147,253,403,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,4.499323410013531
Abelmoschus manihot,11.737058823529413,1.8888888888888888,2.786809669578957,0.9909681081988204,7.999999999999998,7.606519967637649e-11,5,11,species,does not resprout,NA,FALSE,NA,herbaceous woody,herb,FALSE,NA,NA,NA,8.520022051821782
Abelmoschus moschatus,4.66022448979592,4.757281553398057,5.178509218422428,4.336053888373686,3.863905562224891,6.182474306723615e-36,23,103,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,herbaceous woody,herb,TRUE,TRUE,NA,NA,21.458193745593398
Abelmoschus moschatus subsp. tuberosus,5.905401785714285,3.754189944134079,4.038039145673284,3.4703407425948747,5.221408507223113,5.191209542106003e-102,63,185,subspecies,mostly resprouts,NA,FALSE,NA,herbaceous woody,herb,TRUE,NA,NA,NA,16.9336488233382
Abrodictyum caudatum,78.23206896551726,0.2833876221498371,0.34293701284708167,0.22383823145259252,0.8573360378634213,0.9663036833378236,225,308,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA,1.2782481829040915
Abrodictyum obscurum,46.162191780821914,0.48026315789473695,0.5904358377685683,0.3700904780209056,4.301460582418578,5.32284387147736e-63,129,152,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA,2.166274956674501
Abrotanella forsteroides,343.63500000000005,0.06451612903225806,0.12774193548387097,0.00129032258064515,0.9508196721311476,0.5853259536121472,58,62,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA,0.2910064457927743
Abrotanella nivigena,36.6951724137931,0.6041666666666667,0.8240608962913256,0.38427243704200786,0.615553925165077,0.982359524928076,22,48,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA,2.7251541121635845
Abrus precatorius,20.8098773006135,1.065359477124183,1.2289124500406226,0.9018065042077434,4.293994187923797,3.271201321319901e-63,104,174,species,mostly resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA,4.805410361408132
Abrus precatorius subsp. precatorius,8.904159021406729,2.4898477157360404,2.6456573661735887,2.334038065298492,5.073487872633471,6.446468283576923e-212,188,481,subspecies,mostly resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA,11.230706881984846
