taxon_name,mean_fires,num_unburnt_pixels,num_pixels
Abelmoschus ficulneus,0.9974999999999999,253,400
Abelmoschus manihot,1.8888888888888886,5,9
Abelmoschus moschatus,4.757281553398058,23,103
Abelmoschus moschatus subsp. tuberosus,3.7288135593220333,63,177
Abrodictyum caudatum,0.28338762214983715,225,307
Abrodictyum obscurum,0.48026315789473695,129,152
Abrotanella forsteroides,0.06451612903225809,58,62
Abrotanella nivigena,0.6041666666666667,22,48
Abrus precatorius,1.0653594771241832,104,153
Abrus precatorius subsp. precatorius,2.478149100257069,186,389
Abutilon calliphyllum,0.07142857142857145,40,42
Abutilon cryptopetalum,0.20000000000000018,358,420
Abutilon fraseri,0.1818181818181819,660,748
Abutilon fraseri subsp. diplotrichum,0.035087719298245605,55,57
Abutilon fraseri subsp. fraseri,0.4540059347181011,245,337
Abutilon halophilum,0.009554140127388502,622,628
Abutilon hannii,2.1951710261569417,202,497
Abutilon indicum,2,11,20
Abutilon indicum subsp. albescens,0.4583333333333334,21,24
Abutilon lepidum,0.9423076923076924,72,156
Abutilon leucopetalum,0.2960199004975125,1029,1206
Abutilon macrum,0.8471615720524026,133,229
Abutilon malvifolium,0.07621247113163972,409,433
Abutilon otocarpum,0.41173054587688745,1381,1722
Abutilon oxycarpum,0.10284360189573438,1940,2110
Abutilon oxycarpum var. incanum,0.16666666666666666,37,42
Abutilon oxycarpum var. oxycarpum,0.48031496062992135,90,127
Abutilon oxycarpum var. subsagittatum,0.15094339622641512,46,53
Acacia abbreviata,2.730769230769231,4,26
Acacia abrupta,1.1931818181818181,21,88
Acacia acanthoclada,0.14864864864864863,64,74
Acacia acanthoclada subsp. acanthoclada,0.21352313167259784,225,281
Acacia acinacea,0.09559939301972785,4888,5272
Acacia acradenia,1.8684931506849316,129,365
Acacia aculeatissima,0.17263025737601984,1349,1593
Acacia acuminata,0.15789473684210523,671,760
Acacia adsurgens,1.4277016742770163,155,657
Acacia adunca,0.6065573770491804,69,122
Acacia aemula subsp. muricata,0.23076923076923075,10,13
Acacia alata,0.2375,64,80
Acacia alaticaulis,1.0666666666666667,2,15
Acacia alleniana,3.252964426877471,29,253
Acacia alpina,1.2748815165876775,29,211
Acacia amanda,9.6,0,15
Acacia ammobia,0.8571428571428571,22,56
Acacia amoena,0.4663461538461538,119,208
Acacia ampliceps,1.2228915662650603,80,166
Acacia anaticeps,2.1818181818181817,3,22
Acacia ancistrocarpa,1.8095238095238093,128,588
Acacia ancistrophylla var. lissophylla,0.05014749262536874,323,339
Acacia aneura,0.11715380929563987,3846,4174
Acacia aneura var. aneura,0.1509433962264146,804,901
Acacia aneura var. major,0.12173913043478253,103,115
Acacia aphylla,0.25,3,4
Acacia applanata,0.3287037037037035,165,216
Acacia aprepta,0.1875,41,48
Acacia aptaneura,0.3784277879341866,396,547
Acacia arafurica,5.625,0,16
Acacia argyraea,2.1710526315789473,21,76
Acacia argyrophylla,0.12385321100917437,193,218
Acacia arida,1.9782608695652173,25,92
Acacia armitii,2.1923076923076925,9,26
Acacia aspera,0.0654761904761904,321,336
Acacia aspera subsp. aspera,0.019305019305019266,255,259
Acacia aspera subsp. parviceps,0.060975609756097525,77,82
Acacia asperulacea,2.6016260162601625,25,123
Acacia assimilis subsp. atroviridis,0.1772151898734177,67,79
Acacia aulacocarpa,0.9957894736842101,287,475
Acacia auriculiformis,3.403393025447691,391,1061
Acacia auronitens,0.2352941176470588,55,68
Acacia ausfeldii,0.01176470588235295,336,340
Acacia axillaris,0,45,45
Acacia ayersiana,0.3227848101265821,244,316
Acacia baileyana,0.08116710875331566,3522,3770
Acacia barbinervis,0.411764705882353,12,17
Acacia barbinervis subsp. borealis,0.5238095238095238,12,21
Acacia barrettiorum,4,0,1
Acacia barringtonensis,0.9799999999999998,53,100
Acacia basedowii,0.7857142857142858,24,56
Acacia baueri subsp. baueri,0.8314606741573035,49,89
Acacia beadleana,2.0869565217391304,4,23
Acacia betchei,1.2121212121212122,33,132
Acacia bidentata,0.2745098039215687,127,153
Acacia biflora,0.2875,59,80
Acacia binervata,0.26597805035506755,1216,1549
Acacia binervia,0.25432098765432104,647,810
Acacia bivenosa,1.0522388059701495,191,402
Acacia blakei subsp. diphylla,0.5587301587301589,175,315
Acacia blakelyi,0.24468085106382972,157,188
Acacia blayana,0.5357142857142858,13,28
Acacia boormanii,0.34285714285714286,263,385
Acacia brachybotrya,0.13237221494102225,1339,1526
Acacia brachystachya,0.16596638655462173,419,476
Acacia brockii,4.298245614035087,6,57
Acacia browniana,0.43243243243243246,49,74
Acacia browniana var. browniana,0.4869565217391304,73,115
Acacia brownii,0.46097560975609764,1090,1640
Acacia brunioides subsp. brunioides,0.5617977528089888,61,89
Acacia bulgaensis,0.3114754098360655,49,61
