taxon_name,mean_fri,mean_fires,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,warnings,messages,error
Abelmoschus ficulneus,22.22556390977444,0.9974999999999998,1.095377423341647,0.8996225766583528,4.072832457082557,2.5180519634883336e-147,253,400,NA,NA,NA
Abelmoschus manihot,11.737058823529413,1.8888888888888888,2.786809669578957,0.9909681081988205,7.999999999999998,7.60651996763765e-11,5,9,NA,NA,NA
Abelmoschus moschatus,4.66022448979592,4.757281553398057,5.178509218422428,4.336053888373686,3.863905562224891,6.182474306723615e-36,23,103,NA,NA,NA
Abelmoschus moschatus subsp. tuberosus,5.905401785714285,3.754189944134079,4.038039145673284,3.4703407425948747,5.221408507223113,5.191209542106003e-102,63,179,NA,NA,NA
Abrodictyum caudatum,78.23206896551726,0.2833876221498371,0.34293701284708167,0.22383823145259252,0.8573360378634213,0.9663036833378237,225,307,NA,NA,NA
Abrodictyum obscurum,46.162191780821914,0.48026315789473695,0.5904358377685683,0.3700904780209056,4.301460582418578,5.32284387147736e-63,129,152,NA,NA,NA
Abrotanella forsteroides,343.63500000000005,0.06451612903225806,0.12774193548387097,0.0012903225806451535,0.9508196721311475,0.5853259536121472,58,62,NA,NA,NA
Abrotanella nivigena,36.6951724137931,0.6041666666666667,0.8240608962913256,0.38427243704200786,0.615553925165077,0.9823595249280761,22,48,NA,NA,NA
Abrus precatorius,20.8098773006135,1.065359477124183,1.2289124500406226,0.9018065042077434,4.293994187923797,3.271201321319901e-63,104,153,NA,NA,NA
Abrus precatorius subsp. precatorius,8.904159021406729,2.4898477157360404,2.6456573661735887,2.334038065298492,5.073487872633471,6.446468283576926e-212,188,394,NA,NA,NA
Abutilon calliphyllum,310.38000000000005,0.07142857142857142,0.15225760911511904,-0.009400466257976178,1.6341463414634143,0.006351078427007156,40,42,NA,NA,NA
Abutilon cryptopetalum,110.85000000000001,0.2,0.2427707064862545,0.1572292935137455,1.494033412887828,2.0578926926245495e-10,358,420,NA,NA,NA
Abutilon fraseri,121.36861313868614,0.18266666666666667,0.21325494910001397,0.15207838423331937,1.6808883864617545,1.582251250180726e-28,661,750,NA,NA,NA
Abutilon fraseri subsp. diplotrichum,631.845,0.03508771929824561,0.08371681723247835,-0.01354137863598713,0.982142857142857,0.5127313947570612,55,57,NA,NA,NA
Abutilon fraseri subsp. fraseri,48.83196078431373,0.4540059347181009,0.525946175307513,0.3820656941286889,1.8849206349206347,1.656559561239759e-20,245,337,NA,NA,NA
Abutilon halophilum,2320.4600000000005,0.009554140127388535,0.01719904442015132,0.0019092358346257492,0.992025518341308,0.5488405902416046,622,628,NA,NA,NA
Abutilon hannii,10.099440879926671,2.195171026156942,2.325431321316825,2.064910730997059,3.8079078087578724,3.4573792840853937e-161,202,497,NA,NA,NA
Abutilon indicum,11.639250000000002,1.9047619047619044,2.4950537346600017,1.314470074863807,4.615,2.928543538543892e-11,12,21,NA,NA,NA
Abutilon indicum subsp. albescens,48.035000000000004,0.46153846153846156,0.7226784294488462,0.200398493628077,4.720000000000001,4.980311319383044e-14,22,26,NA,NA,NA
Abutilon lepidum,23.527346938775505,0.9423076923076926,1.0946393402554169,0.7899760443599683,1.5232389730085578,2.904807891789701e-5,72,156,NA,NA,NA
Abutilon leucopetalum,74.76941176470588,0.29651162790697677,0.327270024510195,0.26575323130375855,2.7786253320945997,1.9828212989800392e-200,1027,1204,NA,NA,NA
Abutilon macrum,26.169742268041233,0.847161572052402,0.9663739782676023,0.7279491658372016,2.0690902514016996,4.0280022107448e-19,133,229,NA,NA,NA
Abutilon malvifolium,290.89727272727265,0.07621247113163974,0.10221557225684652,0.05020937000643296,1.5333894500561163,5.7690872960062424e-12,409,433,NA,NA,NA
Abutilon otocarpum,53.81462623413259,0.41196978500871584,0.4422946110786298,0.3816449589388019,3.2725833962016595,0,1380,1721,NA,NA,NA
Abutilon oxycarpum,215.4678801843319,0.10289236605026074,0.1165825523616909,0.08920217973883057,1.3954651579674542,9.995728154909472e-31,1939,2109,NA,NA,NA
Abutilon oxycarpum var. incanum,133.01999999999998,0.16666666666666669,0.29013506118301424,0.043198272150319114,1.4390243902439022,0.033956104529612494,37,42,NA,NA,NA
Abutilon oxycarpum var. oxycarpum,46.884098360655756,0.4728682170542634,0.5915355764711397,0.35420085763738707,2.084272540983607,8.44464469061414e-12,92,129,NA,NA,NA
