taxon_name,med_w,med_w_lwr,med_w_upr,med_w_warnings,med_w_messages,med_wo,med_wo_lwr,med_wo_upr,med_wo_warnings,med_wo_messages,num_unburnt_pixels,num_pixels
Abelmoschus ficulneus,12499.20210063966,9935.580918080404,15724.299811028965,NA,NA,3273.679445377099,2826.099792086359,3792.143908397775,NA,NA,256,403
Abelmoschus manihot,4863.199719163764,1831.2696602535948,12914.92565065449,NA,NA,1569.4095862685383,780.0424971580842,3157.5798221829727,NA,NA,7,11
Abelmoschus moschatus,1326.407866330844,1184.92624148622,1484.7825681180182,NA,NA,1123.8507964169644,1021.1237115624805,1236.9124311826959,NA,NA,23,103
Abelmoschus moschatus subsp. tuberosus,1648.2800896670274,1476.8092494578702,1839.660237088897,NA,NA,1162.1813844855553,1065.7238353995108,1267.3692053987286,NA,NA,70,185
Abrodictyum caudatum,1968033.7744825706,14571.898905378916,265796308.5424934,NA,NA,127434.87854361304,8607.474376533295,1886691.4450189732,NA,NA,226,308
Abrodictyum obscurum,32369.02213793477,17175.6958586938,61002.10453108201,NA,NA,2574.0566915366626,1967.977511499665,3366.7904295286426,NA,NA,129,152
Abrotanella forsteroides,4896.734440867043,0,Inf,Ran out of iterations and did not converge,NA,NA,NA,NA,NA,NA,58,62
Abrotanella nivigena,11746643.755663289,1513.0190934128455,91197553370.73785,NA,NA,1651467.048886939,1497.4424812573595,1821334340.1806433,NA,NA,22,48
Abrus precatorius,10659.450862085232,7880.3601520135535,14418.616724284713,NA,NA,2415.954071965108,2037.7616967606684,2864.335946211632,NA,NA,125,174
Abrus precatorius subsp. precatorius,3272.932914346876,2963.77475036198,3614.340077803425,NA,NA,1516.5930896125515,1415.3969453931231,1625.0244194371273,NA,NA,275,481
Abutilon calliphyllum,154118.06302747634,383.8576686009795,61878084.75446079,NA,NA,4739.502432127512,2820.8600012636475,7963.132978623541,NA,NA,40,42
Abutilon cryptopetalum,217213.06700261758,50128.85877874404,941204.679821873,NA,NA,13247.277417271618,7971.653138657039,22014.299407879003,NA,NA,359,421
Abutilon fraseri,55398.104569883,30793.552966162326,99662.09463740754,NA,NA,6877.148198560159,5958.065502187313,7938.007282329537,NA,NA,661,750
Abutilon fraseri subsp. diplotrichum,9104.658205642045,8182.79407078854,10130.37848984716,Ran out of iterations and did not converge,NA,NA,NA,NA,Ran out of iterations and did not converge,NA,56,58
Abutilon fraseri subsp. fraseri,37674.75193819659,22968.9865720324,61795.80144528147,NA,NA,7155.020717728635,5777.392284464513,8861.146854920718,NA,NA,245,337
Abutilon halophilum,9688.038997414065,9299.947613148375,10092.325625868923,Ran out of iterations and did not converge,NA,NA,NA,NA,NA,NA,622,628
Abutilon hannii,3419.774003268625,3133.8401683430825,3731.796647311214,NA,NA,2085.6542239617816,1946.9193075774174,2234.2752085305137,NA,NA,202,498
Abutilon indicum,8701.356519354367,4897.5775260188,15459.39903445649,NA,NA,1704.7751458067469,1252.4889305742984,2320.3864136570214,NA,NA,32,41
Abutilon indicum subsp. albescens,577625.5714438879,23616.726746076198,14127753.789644577,NA,NA,2794.1338993320005,1577.2463825380873,4949.882487498888,NA,NA,124,128
Abutilon lepidum,12392.199472104516,9489.73917329451,16182.384463061524,NA,NA,6115.166670766015,5168.674628490773,7234.981131355677,NA,NA,75,159
Abutilon leucopetalum,57645.59532775089,40815.37265866565,81415.76186210073,NA,NA,5028.4148822472,4496.937042601405,5622.7062973019,NA,NA,1028,1205
Abutilon macrum,13626.953246310757,10533.02646745523,17629.677030708386,NA,NA,5030.569002720253,4323.931740081512,5852.688250497858,NA,NA,133,229
Abutilon malvifolium,349849.4908666937,27485.907515097413,4452997.092872269,NA,NA,9580.668963463764,5592.888930991628,16411.77196973293,NA,NA,411,435
Abutilon otocarpum,53395.4729228356,41313.176634228395,69011.312150979,NA,NA,5111.894046125434,4609.195274346731,5669.419320168937,NA,NA,1384,1725
Abutilon oxycarpum,241835.99712232416,88887.3385721393,657963.7825097417,NA,NA,12529.392007346229,9589.7593569971,16370.13591578895,NA,NA,1941,2111
Abutilon oxycarpum var. incanum,87781.36320721896,2672.3455278968927,2883447.3858557846,NA,NA,9297.037586338747,3418.052057178414,25287.768131052715,NA,NA,37,42
Abutilon oxycarpum var. oxycarpum,48758.4797287589,19279.5695578324,123311.32903815109,NA,NA,7847.715998143473,5163.941654653235,11926.286256937305,NA,NA,93,130
Abutilon oxycarpum var. subsagittatum,11267.152294261246,7788.599249363783,16299.300651840085,Ran out of iterations and did not converge,NA,13422.69376626556,2640.196925999113,68240.63241978211,NA,NA,46,53
Acacia abbreviata,3041.264193314619,2514.217520833534,3678.793826268156,NA,NA,2612.3115053105644,2243.4760738208474,3041.784791203833,NA,NA,4,26
Acacia abrupta,8252.143902386693,7067.321050904727,9635.60003786447,NA,NA,6587.7614988296145,5846.282697539226,7423.281392760701,NA,NA,21,88
Acacia acanthoclada,67668.12195987413,1028.3227677646507,4452857.481245982,NA,NA,5454.226297412936,4330.167499237068,6870.077083307346,NA,NA,65,75
Acacia acanthoclada subsp. acanthoclada,662860.2213925027,12584.741036333564,34914001.95172612,NA,NA,41715.54997814219,6858.577640351137,253724.1978192124,NA,NA,225,283
Acacia acinacea,2229182.1498391656,783967.3456746293,6338596.989502627,NA,NA,19013.16474296394,13995.383774464879,25829.976467144716,NA,NA,4905,5289
Acacia acradenia,4569.115116299571,4147.742100345261,5033.295812740972,NA,NA,2948.6603041861895,2737.302172936123,3176.338248457702,NA,NA,129,365
Acacia aculeatissima,308331.9498546165,83034.79377137433,1144924.7596484558,NA,NA,21123.002856344778,13142.160039380624,33950.37408859446,NA,NA,1349,1593
Acacia acuminata,371069.77539207117,89868.26042155072,1532162.496120857,NA,NA,14089.874221556986,8971.245590298631,22128.98460766443,NA,NA,673,762
Acacia adsurgens,7151.351303199632,6627.642503639394,7716.4429785843095,NA,NA,5220.677628381232,4923.002325991542,5536.352228716597,NA,NA,155,657
Acacia adunca,32975.76436036542,15438.54028966235,70434.18708946674,NA,NA,11725.850030426696,7493.806332068612,18347.89329258034,NA,NA,68,121
Acacia aemula subsp. muricata,10550.31589075316,5248.72501182166,21206.895987878605,Ran out of iterations and did not converge,NA,NA,NA,NA,NA,NA,10,13
Acacia alata,67794.29608212272,5530.983079431932,830967.3913778404,NA,NA,9809.168173183545,4754.99324594093,20235.524063453624,NA,NA,65,81
Acacia alaticaulis,204257.16753597173,1853.299866508337,22511732.31260272,NA,NA,144477.66819107646,1789.2520953171972,11666213.308097484,NA,NA,2,15
Acacia alleniana,2466.392333977073,2289.8978581731517,2656.490167624281,NA,NA,2183.824533087321,2043.1113344655312,2334.2289335209557,NA,NA,34,257
Acacia alpina,8920.859518829018,7870.494145175106,10111.40254814481,NA,NA,7830.055321376151,7007.782771893414,8748.810905171058,NA,NA,29,211
Acacia amanda,753.0748754012859,653.8768362918189,867.3220039064992,NA,NA,753.0748754012859,653.8768362918189,867.3220039064992,NA,NA,0,15
Acacia ammobia,15376.602676239405,9002.223129923674,26264.613357227205,NA,NA,9381.14838646157,6456.204686824313,13631.21978279456,NA,NA,22,56
Acacia amoena,31098.925658197644,11729.116461943722,82456.60960329763,NA,NA,15353.290352442255,8679.914142179958,27157.356718645413,NA,NA,120,209
Acacia ampliceps,8466.14853329962,6793.480267703328,10550.655652691361,NA,NA,3976.4144965512714,3419.544423718902,4623.970415096122,NA,NA,82,168
Acacia anaticeps,4071.94372308756,3169.884941335578,5230.702688220022,NA,NA,3531.458567246674,2835.5873313693587,4398.1010474318,NA,NA,3,22
Acacia ancistrocarpa,5349.597681425112,4953.504977371342,5777.362793384264,NA,NA,4081.680725312917,3824.633290951736,4356.003903120657,NA,NA,130,590
Acacia ancistrophylla var. lissophylla,353666005.53802973,0.2045201290262125,611576200683867500,NA,NA,243013.42242672792,78.77734626036904,749651089.8496798,NA,NA,324,340
Acacia aneura,114792.98846881256,74438.95238070558,177023.31615586384,NA,NA,7569.582688165995,6888.99136790211,8317.412377660072,NA,NA,3848,4177
Acacia aneura var. aneura,146427.12588245585,57347.4134426459,373877.4237069986,NA,NA,9255.531142833719,7183.197389499459,11925.727790968334,NA,NA,809,908
Acacia aneura var. major,144267.77159148463,2413.694492731085,8622959.526424045,NA,NA,10010.447370132422,4041.5414631955446,24794.761469787907,NA,NA,104,117
Acacia aphylla,NA,NA,NA,Ran out of iterations and did not converge,NA,NA,NA,NA,NA,NA,3,4
Acacia applanata,37406.604292376,17610.0214871402,79457.82722117702,NA,NA,7891.947416345796,6148.905638387256,10129.092506077657,NA,NA,165,217
Acacia aprepta,245665.07877367703,1598.7633659120047,37748757.70589715,NA,NA,11012.80948721647,2330.0362191537747,52051.53971631062,NA,NA,41,48
Acacia aptaneura,51175.061986126035,29547.165994215302,88634.11705192165,NA,NA,10370.750880375392,8216.13601514233,13090.395975016452,NA,NA,397,548
Acacia arafurica,1232.1319176465477,980.004829406399,1549.1240623813246,NA,NA,1232.1319176465477,980.004829406399,1549.1240623813246,NA,NA,0,16
Acacia argyraea,3854.2020228548913,3165.343220281099,4692.9739365387195,NA,NA,2807.3220229341023,2383.3558447324854,3306.7059448419927,NA,NA,21,76
Acacia argyrophylla,461001.3259957775,1547.736340095473,137311644.79652616,NA,NA,14056.57278607025,3219.9922789836696,61362.643562752775,NA,NA,195,220
Acacia arida,5024.497714863714,3996.21906300371,6317.365712102668,NA,NA,3245.4455549583236,2682.4698631663473,3926.5741601905056,NA,NA,33,100
Acacia armitii,3615.858955253541,2625.0747914449507,4980.595610798006,NA,NA,2440.8055520066946,1900.4025476204667,3134.8788445723017,NA,NA,9,26
Acacia aspera,14371575.942798462,45673.06656451456,4522188033.682312,NA,NA,18568.81090499493,4225.64257365804,81597.23223513739,NA,NA,329,344
Acacia aspera subsp. aspera,6516558.721038258,10.502117861649145,4043521328189.6455,NA,NA,14574.763351954454,1282.377038906151,165648.41721329372,NA,NA,257,261
Acacia aspera subsp. parviceps,10163.07564122282,8551.474004541857,12078.397997159114,Ran out of iterations and did not converge,NA,NA,NA,NA,NA,NA,77,82
